sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
2003,1009.0,1025.471424421204,1026.0380355563846,1026.030964113285,1110.182135861879,1026.0311111111112
2004,1004.0,1025.471365347225,1026.0380355563846,1026.0309643928003,1110.1821383601539,1026.0311111111112
2005,1003.0,1025.4713237040987,1026.0380355563846,1026.0309648739076,1110.182141598968,1026.0311111111112
2006,999.0,1025.471299371984,1026.0380355563846,1026.0309654673904,1110.1821450210573,1026.0311111111112
2007,996.0,1025.4712913936705,1026.0380355563846,1026.0309660853823,1110.1821481275072,1026.0311111111112
2008,991.0,1025.4712981259563,1026.0380355563846,1026.0309666514418,1110.1821505377288,1026.0311111111112
2009,985.0,1025.4713174059534,1026.0380355563846,1026.0309671076502,1110.1821520241378,1026.0311111111112
2010,983.0,1025.471346722275,1026.0380355563846,1026.0309674183857,1110.1821525205535,1026.0311111111112
2011,978.0,1025.4713833820676,1026.0380355563846,1026.030967570869,1110.1821521071026,1026.0311111111112
2012,980.0,1025.4714246661833,1026.0380355563846,1026.0309675729463,1110.1821509772337,1026.0311111111112
2013,979.0,1025.4714679663275,1026.0380355563846,1026.0309674488137,1110.1821493940677,1026.0311111111112
2014,980.0,1025.4715108996738,1026.0380355563846,1026.0309672335227,1110.1821476436992,1026.0311111111112
2015,982.0,1025.4715513981112,1026.0380355563846,1026.030966967108,1110.1821459923385,1026.0311111111112
2016,983.0,1025.471587770883,1026.0380355563846,1026.0309666890842,1110.1821446526217,1026.0311111111112
2017,981.0,1025.4716187408494,1026.0380355563846,1026.030966433901,1110.182143762355,1026.0311111111112
2018,981.0,1025.471643455873,1026.0380355563846,1026.030966227731,1110.1821433767566,1026.0311111111112
2019,981.0,1025.4716614778604,1026.0380355563846,1026.030966086747,1110.1821434732387,1026.0311111111112
2020,979.0,1025.4716727527843,1026.0380355563846,1026.0309660168552,1110.1821439661917,1026.0311111111112
2021,976.0,1025.4716775655274,1026.0380355563846,1026.030966014672,1110.1821447282312,1026.0311111111112
2022,973.0,1025.4716764836644,1026.0380355563846,1026.0309660694318,1110.1821456140135,1026.0311111111112
